gene_id,disease_id
57534,OMIM:615092
1977,OMIM:615091
51132,OMIM:300978
63925,OMIM:615095
537,OMIM:300972
3756,OMIM:135500
8622,OMIM:609161
1280,OMIM:609162
91851,OMIM:309300
2010,OMIM:310300
3858,OMIM:609165
5077,OMIM:148820
80311,OMIM:300982
22852,OMIM:188000
4478,OMIM:300988
633,OMIM:300989
1814,OMIM:190300
9758,OMIM:300983
389856,OMIM:300984
10149,OMIM:300985
3188,OMIM:300986
7253,OMIM:609152
10058,OMIM:609153
1244,OMIM:237500
6324,OMIM:612838
7045,OMIM:122200
24,OMIM:248200
57187,OMIM:300957
3236,OMIM:192950
54539,OMIM:300952
7737,OMIM:300953
55651,OMIM:224230
55505,OMIM:224230
6935,OMIM:609141
1296,OMIM:609140
79574,OMIM:612841
83706,OMIM:612840
9060,OMIM:612847
259197,OMIM:609148
10682,OMIM:300960
6872,OMIM:300966
4841,OMIM:300967
2690,OMIM:262500
8239,OMIM:300968
28952,OMIM:300963
3557,OMIM:612852
7297,OMIM:611521
1654,OMIM:300958
57038,OMIM:611523
23385,OMIM:142690
3145,OMIM:176000
6663,OMIM:609136
4645,OMIM:251850
3728,OMIM:611528
51119,OMIM:609135
4683,OMIM:609135
5551,OMIM:609135
7015,OMIM:609135
3458,OMIM:609135
2617,OMIM:600794
2299,OMIM:600791
3766,OMIM:600791
5172,OMIM:600791
81624,OMIM:609129
25978,OMIM:600795
6906,OMIM:300932
6748,OMIM:300934
4094,OMIM:610202
11043,OMIM:300928
283989,OMIM:610204
875,OMIM:236200
4853,OMIM:610205
5354,OMIM:312920
83550,OMIM:300943
90121,OMIM:300946
1296,OMIM:136800
83550,OMIM:300942
272,OMIM:612874
4327,OMIM:611543
51473,OMIM:610212
6559,OMIM:263800
1414,OMIM:611544
1829,OMIM:612877
8398,OMIM:610217
135935,OMIM:611548
9987,OMIM:609115
161742,OMIM:611431
50717,OMIM:610100
5604,OMIM:115150
5605,OMIM:115150
3845,OMIM:115150
673,OMIM:115150
730,OMIM:610102
79083,OMIM:609227
5352,OMIM:609220
1411,OMIM:600881
7879,OMIM:600882
3717,OMIM:600880
2153,OMIM:600880
2512,OMIM:600886
146167,OMIM:609218
8754,OMIM:612775
144568,OMIM:166760
525,OMIM:267300
1301,OMIM:154780
3766,OMIM:612780
84876,OMIM:612782
220074,OMIM:611451
50814,OMIM:308050
2688,OMIM:612781
3988,OMIM:278000
6261,OMIM:255320
6786,OMIM:612783
5015,OMIM:610125
26504,OMIM:217080
1509,OMIM:610127
9499,OMIM:609200
80326,OMIM:257980
51057,OMIM:217085
7170,OMIM:255310
11232,OMIM:610131
70,OMIM:612794
3990,OMIM:612797
64241,OMIM:611465
55636,OMIM:214800
1729,OMIM:124900
113235,OMIM:229050
1906,OMIM:612798
5625,OMIM:600850
7168,OMIM:115196
4607,OMIM:115197
51422,OMIM:600858
4000,OMIM:610140
7139,OMIM:115195
1277,OMIM:166710
1278,OMIM:166710
799,OMIM:166710
8572,OMIM:166710
153562,OMIM:610153
107,OMIM:610154
56623,OMIM:610156
5340,OMIM:217090
866,OMIM:611489
2488,OMIM:229070
1482,OMIM:217095
6899,OMIM:217095
2627,OMIM:217095
137814,OMIM:217095
132884,OMIM:225500
2121,OMIM:225500
1186,OMIM:611490
9992,OMIM:611493
919,OMIM:610163
9842,OMIM:611497
84662,OMIM:611498
7048,OMIM:610168
50511,OMIM:270960
2303,OMIM:153400
2316,OMIM:309350
23592,OMIM:166700
6708,OMIM:270970
79621,OMIM:610181
7466,OMIM:116400
7026,OMIM:618901
124997,OMIM:610185
23414,OMIM:610187
3596,OMIM:600807
117156,OMIM:600807
7124,OMIM:600807
3135,OMIM:600807
6356,OMIM:600807
4589,OMIM:600807
3176,OMIM:600807
240,OMIM:600807
5648,OMIM:257920
80184,OMIM:610188
80184,OMIM:610189
26115,OMIM:618906
5324,OMIM:618907
8091,OMIM:618908
3718,OMIM:600802
4854,OMIM:130720
1829,OMIM:610193
5244,OMIM:600803
6652,OMIM:618912
137682,OMIM:618913
23291,OMIM:618914
131118,OMIM:610198
4363,OMIM:618915
169792,OMIM:610199
1545,OMIM:231300
55152,OMIM:618910
23097,OMIM:618916
2891,OMIM:618917
4131,OMIM:618918
348,OMIM:603075
83872,OMIM:603075
10878,OMIM:603075
3078,OMIM:603075
2200,OMIM:154700
6326,OMIM:618924
1000,OMIM:618920
